question_id,competency_tag,topic,question_text,options_raw,correct_key,difficulty,target_time,hint
Q1_050,Q1-NA-1,Number and Algebra - Percentages,A ₱400 meal has a 10% service charge. What is the total?,"A) ₱410, B) ₱440, C) ₱450, D) ₱500",B,Mod (1),45s,Percent means 'per 100'. Convert it to a decimal by dividing by 100 to make calculations easier.
Q1_051,Q1-NA-1,Number and Algebra - Percentages,"The population was 10,000 and increased by 5%. What is the new population?","A) 10,005, B) 10,500, C) 11,000, D) 15,000",B,Mod (1),45s,Percent means 'per 100'. Convert it to a decimal by dividing by 100 to make calculations easier.
Q1_052,Q1-NA-1,Number and Algebra - Percentages,"A town of 5,000 decreased by 10%. What is the new population?","A) 4,000, B) 4,500, C) 4,900, D) 5,500",B,Mod (1),45s,Percent means 'per 100'. Convert it to a decimal by dividing by 100 to make calculations easier.
Q1_053,Q1-NA-1,Number and Algebra - Percentages,"If 20 is 10% of a number, what is the number?","A) 2, B) 100, C) 200, D) 400",C,Hard (2),90s,Percent means 'per 100'. Convert it to a decimal by dividing by 100 to make calculations easier.
Q1_054,Q1-NA-1,Number and Algebra - Percentages,"If 45 is 50% of a number, what is the number?","A) 22.5, B) 90, C) 100, D) 450",B,Mod (1),45s,Percent means 'per 100'. Convert it to a decimal by dividing by 100 to make calculations easier.
Q1_055,Q1-NA-1,Number and Algebra - Percentages,30 is what percent of 150?,"A) 10%, B) 20%, C) 30%, D) 50%",B,Hard (2),90s,Percent means 'per 100'. Convert it to a decimal by dividing by 100 to make calculations easier.
Q1_056,Q1-NA-2,Number and Algebra - Financial Math / Simple Interest,You invest ₱2000 at 5% simple interest per year. Interest for 1 year?,"A) ₱10, B) ₱50, C) ₱100, D) ₱200",C,Mod (1),45s,Percent means 'per 100'. Convert it to a decimal by dividing by 100 to make calculations easier.
Q1_057,Q1-NA-2,Number and Algebra - Financial Math / Simple Interest,You invest ₱3000 at 4% simple interest for 2 years. Total interest?,"A) ₱120, B) ₱240, C) ₱360, D) ₱480",B,Hard (2),90s,Percent means 'per 100'. Convert it to a decimal by dividing by 100 to make calculations easier.
Q1_058,Q1-NA-2,Number and Algebra - Financial Math / Simple Interest,You borrow ₱5000 at 10% simple interest for 3 years. Total interest?,"A) ₱500, B) ₱1000, C) ₱1500, D) ₱2000",C,Hard (2),90s,Percent means 'per 100'. Convert it to a decimal by dividing by 100 to make calculations easier.
Q1_059,Q1-NA-2,Number and Algebra - Financial Math / Simple Interest,"A salesman gets 5% commission on a ₱10,000 sale. Commission?","A) ₱50, B) ₱100, C) ₱500, D) ₱5000",C,Mod (1),45s,Percent means 'per 100'. Convert it to a decimal by dividing by 100 to make calculations easier.
Q1_060,Q1-NA-2,Number and Algebra - Financial Math / Simple Interest,"A realtor gets 3% commission on a ₱1,000,000 house. Commission?","A) ₱3,000, B) ₱10,000, C) ₱30,000, D) ₱300,000",C,Mod (1),45s,Percent means 'per 100'. Convert it to a decimal by dividing by 100 to make calculations easier.
Q1_061,Q1-NA-2,Number and Algebra - Financial Math / Simple Interest,"You deposit ₱10,000 at 2% simple interest. Total amount in the bank after 1 year?","A) ₱10,020, B) ₱10,200, C) ₱12,000, D) ₱10,500",B,Hard (2),90s,Percent means 'per 100'. Convert it to a decimal by dividing by 100 to make calculations easier.
Q1_062,Q1-NA-2,Number and Algebra - Financial Math / Simple Interest,A ₱1500 bike has an 8% sales tax. What is the tax amount?,"A) ₱80, B) ₱120, C) ₱150, D) ₱200",B,Mod (1),45s,Percent means 'per 100'. Convert it to a decimal by dividing by 100 to make calculations easier.
Q1_063,Q1-NA-2,Number and Algebra - Financial Math / Simple Interest,"A ₱50,000 car has a 5% discount, then a 10% tax. What is the discount amount?","A) ₱500, B) ₱2500, C) ₱5000, D) ₱250",B,Mod (1),45s,Percent means 'per 100'. Convert it to a decimal by dividing by 100 to make calculations easier.
Q1_064,Q1-NA-2,Number and Algebra - Financial Math / Simple Interest,A budget of ₱500 is planned. 40% is for food. How much is for food?,"A) ₱40, B) ₱100, C) ₱150, D) ₱200",D,Mod (1),45s,Percent means 'per 100'. Convert it to a decimal by dividing by 100 to make calculations easier.
Q1_065,Q1-NA-2,Number and Algebra - Financial Math / Simple Interest,"A monthly income is ₱20,000. 15% is saved. How much is saved?","A) ₱1500, B) ₱2000, C) ₱3000, D) ₱3500",C,Mod (1),45s,Percent means 'per 100'. Convert it to a decimal by dividing by 100 to make calculations easier.
Q1_066,Q1-NA-3,Number and Algebra - Rates and Speed,A car travels 120 km in 2 hours. What is its speed?,"A) 40 km/h, B) 60 km/h, C) 80 km/h, D) 100 km/h",B,Easy (0),20s,Read the question carefully and eliminate obviously incorrect options before calculating.
Q1_067,Q1-NA-3,Number and Algebra - Rates and Speed,A train covers 400 km in 5 hours. What is its speed?,"A) 60 km/h, B) 70 km/h, C) 80 km/h, D) 90 km/h",C,Mod (1),45s,Read the question carefully and eliminate obviously incorrect options before calculating.
Q1_068,Q1-NA-3,Number and Algebra - Rates and Speed,A marathon runner runs 20 km in 2 hours. Speed?,"A) 5 km/h, B) 10 km/h, C) 15 km/h, D) 20 km/h",B,Easy (0),20s,Read the question carefully and eliminate obviously incorrect options before calculating.
Q1_069,Q1-NA-3,Number and Algebra - Rates and Speed,A plane flies 1500 km in 3 hours. Speed?,"A) 300 km/h, B) 400 km/h, C) 500 km/h, D) 600 km/h",C,Mod (1),45s,Read the question carefully and eliminate obviously incorrect options before calculating.
Q1_070,Q1-NA-3,Number and Algebra - Rates and Speed,"If a car drives at 50 km/h for 4 hours, what distance is covered?","A) 100 km, B) 150 km, C) 200 km, D) 250 km",C,Mod (1),45s,Read the question carefully and eliminate obviously incorrect options before calculating.
Q1_071,Q1-NA-3,Number and Algebra - Rates and Speed,"If a bus travels at 80 km/h, how far will it go in 3 hours?","A) 160 km, B) 200 km, C) 240 km, D) 300 km",C,Mod (1),45s,Read the question carefully and eliminate obviously incorrect options before calculating.
Q1_072,Q1-NA-3,Number and Algebra - Rates and Speed,How long does it take to travel 100 km at a speed of 50 km/h?,"A) 1 hr, B) 2 hrs, C) 3 hrs, D) 4 hrs",B,Easy (0),20s,Read the question carefully and eliminate obviously incorrect options before calculating.
Q1_073,Q1-NA-4,Number and Algebra - Rates,3 kg of rice costs ₱150. What is the unit price?,"A) ₱30/kg, B) ₱40/kg, C) ₱50/kg, D) ₱60/kg",C,Easy (0),20s,Read the question carefully and eliminate obviously incorrect options before calculating.
Q1_074,Q1-NA-4,Number and Algebra - Rates,10 pens cost ₱120. What is the unit price?,"A) ₱10/pen, B) ₱12/pen, C) ₱15/pen, D) ₱20/pen",B,Mod (1),45s,Read the question carefully and eliminate obviously incorrect options before calculating.
Q1_075,Q1-NA-4,Number and Algebra - Rates,A worker earns ₱1600 in 8 hours. What is the hourly rate?,"A) ₱150/hr, B) ₱200/hr, C) ₱250/hr, D) ₱300/hr",B,Mod (1),45s,Read the question carefully and eliminate obviously incorrect options before calculating.
Q1_076,Q1-NA-4,Number and Algebra - Rates,A printer prints 300 pages in 10 minutes. What is the rate per minute?,"A) 10 ppm, B) 20 ppm, C) 30 ppm, D) 40 ppm",C,Mod (1),45s,Read the question carefully and eliminate obviously incorrect options before calculating.
Q1_077,Q1-NA-4,Number and Algebra - Rates,A faucet leaks 15 liters in 5 hours. Leak rate per hour?,"A) 2 L/h, B) 3 L/h, C) 4 L/h, D) 5 L/h",B,Easy (0),20s,Read the question carefully and eliminate obviously incorrect options before calculating.
Q1_078,Q1-NA-4,Number and Algebra - Rates,Which is a better buy? A) 2L for ₱80 or B) 5L for ₱150?,"A) Option A, B) Option B, C) They are equal, D) Neither",B,Hard (2),90s,Read the question carefully and eliminate obviously incorrect options before calculating.
Q1_079,Q1-NA-4,Number and Algebra - Rates,Which is a better buy? A) 4kg for ₱200 or B) 6kg for ₱360?,"A) Option A, B) Option B, C) They are equal, D) Neither",A,Hard (2),90s,Read the question carefully and eliminate obviously incorrect options before calculating.
Q1_080,Q1-NA-4,Number and Algebra - Rates,A heart beats 360 times in 5 minutes. Beats per minute?,"A) 60 bpm, B) 72 bpm, C) 80 bpm, D) 90 bpm",B,Hard (2),90s,Read the question carefully and eliminate obviously incorrect options before calculating.
Q1_081,Q1-NA-5,Number and Algebra - Rational Numbers,Convert 1/4 to a decimal.,"A) 0.14, B) 0.25, C) 0.4, D) 1.4",B,Easy (0),20s,Use the appropriate conversion factor to multiply or divide.
Q1_082,Q1-NA-5,Number and Algebra - Rational Numbers,Convert 3/5 to a decimal.,"A) 0.35, B) 0.53, C) 0.6, D) 3.5",C,Mod (1),45s,Use the appropriate conversion factor to multiply or divide.
Q1_083,Q1-NA-5,Number and Algebra - Rational Numbers,Convert 0.5 to a fraction in lowest terms.,"A) 1/5, B) 1/4, C) 1/2, D) 5/10",C,Easy (0),20s,Use the appropriate conversion factor to multiply or divide.
Q1_084,Q1-NA-5,Number and Algebra - Rational Numbers,Convert 0.75 to a fraction in lowest terms.,"A) 1/4, B) 3/4, C) 7/10, D) 7/5",B,Mod (1),45s,Use the appropriate conversion factor to multiply or divide.
Q1_085,Q1-NA-5,Number and Algebra - Rational Numbers,Convert 1/2 to a percentage.,"A) 12%, B) 20%, C) 50%, D) 100%",C,Easy (0),20s,Use the appropriate conversion factor to multiply or divide.
Q1_086,Q1-NA-5,Number and Algebra - Rational Numbers,Convert 4/5 to a percentage.,"A) 40%, B) 45%, C) 80%, D) 125%",C,Mod (1),45s,Use the appropriate conversion factor to multiply or divide.
Q1_087,Q1-NA-5,Number and Algebra - Rational Numbers,Convert 20% to a fraction in lowest terms.,"A) 1/5, B) 1/2, C) 2/10, D) 20/100",A,Mod (1),45s,Use the appropriate conversion factor to multiply or divide.
Q1_088,Q1-NA-6,Number and Algebra - Rational Numbers,Which is larger: -0.5 or -0.8?,"A) -0.5, B) -0.8, C) They are equal, D) Cannot determine",A,Mod (1),45s,Read the question carefully and eliminate obviously incorrect options before calculating.
Q1_089,Q1-NA-6,Number and Algebra - Rational Numbers,Which is larger: 1/3 or 1/4?,"A) 1/3, B) 1/4, C) They are equal, D) Cannot determine",A,Mod (1),45s,Read the question carefully and eliminate obviously incorrect options before calculating.
Q1_090,Q1-NA-6,Number and Algebra - Rational Numbers,"Order from least to greatest: -1, 0.5, 0, -0.5","A) -1, -0.5, 0, 0.5; B) 0, -0.5, 0.5, -1; C) 0.5, 0, -0.5, -1; D) -1, 0, -0.5, 0.5",A,Hard (2),90s,Read the question carefully and eliminate obviously incorrect options before calculating.
Q1_091,Q1-NA-7,Number and Algebra - Rational Numbers Operations,Add: 1/5 + 2/5 = ?,"A) 3/10, B) 3/5, C) 2/25, D) 2/5",B,Easy (0),20s,Read the question carefully and eliminate obviously incorrect options before calculating.
Q1_092,Q1-NA-7,Number and Algebra - Rational Numbers Operations,Add: 1/2 + 1/4 = ?,"A) 2/6, B) 1/8, C) 3/4, D) 2/4",C,Mod (1),45s,Read the question carefully and eliminate obviously incorrect options before calculating.
Q1_093,Q1-NA-7,Number and Algebra - Rational Numbers Operations,Subtract: 7/8 - 3/8 = ?,"A) 4/8, B) 1/2, C) 10/8, D) 4/0",B,Mod (1),45s,Read the question carefully and eliminate obviously incorrect options before calculating.
Q1_094,Q1-NA-7,Number and Algebra - Rational Numbers Operations,Subtract: 2/3 - 1/6 = ?,"A) 1/3, B) 1/6, C) 3/6, D) 1/2",D,Hard (2),90s,Read the question carefully and eliminate obviously incorrect options before calculating.
Q1_095,Q1-NA-7,Number and Algebra - Rational Numbers Operations,Multiply: 1/3 x 2/5 = ?,"A) 2/15, B) 3/8, C) 5/8, D) 2/8",A,Mod (1),45s,Read the question carefully and eliminate obviously incorrect options before calculating.
Q1_096,Q1-NA-7,Number and Algebra - Rational Numbers Operations,Multiply: 3/4 x 4/5 = ?,"A) 12/20, B) 3/5, C) 7/9, D) Both A and B",D,Hard (2),90s,Read the question carefully and eliminate obviously incorrect options before calculating.
Q1_097,Q1-NA-7,Number and Algebra - Rational Numbers Operations,Divide: 1/2 ÷ 1/4 = ?,"A) 1/8, B) 2, C) 1/2, D) 4",B,Hard (2),90s,Read the question carefully and eliminate obviously incorrect options before calculating.
Q1_098,Q1-NA-7,Number and Algebra - Rational Numbers Operations,Add: 1.5 + 2.3 = ?,"A) 3.8, B) 4.8, C) 3.5, D) -0.8",A,Easy (0),20s,Read the question carefully and eliminate obviously incorrect options before calculating.
Q1_099,Q1-NA-7,Number and Algebra - Rational Numbers Operations,Subtract: 5.4 - 2.1 = ?,"A) 2.3, B) 3.3, C) 7.5, D) -3.3",B,Easy (0),20s,Read the question carefully and eliminate obviously incorrect options before calculating.
Q1_100,Q1-NA-7,Number and Algebra - Rational Numbers Operations,Multiply: 0.5 x 0.4 = ?,"A) 0.02, B) 0.2, C) 2.0, D) 0.9",B,Mod (1),45s,Read the question carefully and eliminate obviously incorrect options before calculating.
Q1_101,Q1-MG-1,Measurement and Geometry - Polygons,Which polygon has exactly 4 sides?,"A) Pentagon, B) Quadrilateral, C) Triangle, D) Hexagon",B,Easy (0),20s,"Recall the common prefixes: penta=5, hexa=6, hepta=7, octa=8, nona=9, deca=10."
Q1_102,Q1-MG-1,Measurement and Geometry - Polygons,Which of these is a polygon with 7 sides?,"A) Heptagon, B) Octagon, C) Nonagon, D) Decagon",A,Easy (0),20s,"Recall the common prefixes: penta=5, hexa=6, hepta=7, octa=8, nona=9, deca=10."
Q1_103,Q1-MG-1,Measurement and Geometry - Polygons,What do you call a polygon with 8 sides and 8 angles?,"A) Hexagon, B) Heptagon, C) Octagon, D) Decagon",C,Easy (0),20s,"Recall the common prefixes: penta=5, hexa=6, hepta=7, octa=8, nona=9, deca=10."
Q1_104,Q1-MG-2,Measurement and Geometry - Polygons,"If a polygon is regular, what must be true?","A) Only sides are equal, B) Only angles are equal, C) Sides and angles are equal, D) It has 5 sides",C,Easy (0),20s,"Recall the common prefixes: penta=5, hexa=6, hepta=7, octa=8, nona=9, deca=10."
Q1_105,Q1-MG-2,Measurement and Geometry - Polygons,A square is a regular form of which polygon?,"A) Triangle, B) Quadrilateral, C) Pentagon, D) Hexagon",B,Easy (0),20s,"Recall the common prefixes: penta=5, hexa=6, hepta=7, octa=8, nona=9, deca=10."
Q1_106,Q1-MG-2,Measurement and Geometry - Polygons,Is a rectangle always a regular polygon?,"A) Yes, B) No, because sides can be unequal, C) No, because angles are unequal, D) Yes, if it is large",B,Mod (1),45s,"Recall the common prefixes: penta=5, hexa=6, hepta=7, octa=8, nona=9, deca=10."
Q1_107,Q1-MG-4,Measurement and Geometry - Polygons,A polygon with all interior angles less than 180° is called:,"A) Convex, B) Concave, C) Reflex, D) Irregular",A,Mod (1),45s,"Recall the common prefixes: penta=5, hexa=6, hepta=7, octa=8, nona=9, deca=10."
Q1_108,Q1-MG-4,Measurement and Geometry - Polygons,"If a polygon ""caves in"" and has an angle > 180°, it is:","A) Convex, B) Concave, C) Regular, D) Uniform",B,Easy (0),20s,"Recall the common prefixes: penta=5, hexa=6, hepta=7, octa=8, nona=9, deca=10."
